,index,projectId,name,difficulty,priority,percentMapped,percentValidated,status,lastUpdated,dueDate,country,organisationName,creation_date,totalArea,totalContributors,author,creation_date_datetime,concat,duplicated
1470,5990,15464,"Zambia, Mapping  for sustainable community, Kasama District",MODERATE,MEDIUM,100,100,ARCHIVED,2024-03-13 18:06:17,,['Zambia'],Local Knowledge Mappers (LKM),2023-09-05 21:47:29,0.387,6,Charles Chilufya,2023-09-05 21:47:29,"Zambia, Mapping  for sustainable community, Kasama DistrictLocal Knowledge Mappers (LKM)Charles Chilufya['Zambia']",FALSE
1478,5999,15561,Chõnğara exclave mapping,EASY,MEDIUM,100,100,ARCHIVED,2024-08-27 4:01:34,,['Uzbekistan'],OSM Uzbekistan,2023-09-23 5:19:39,5.15,3,Jafar,2023-09-23 5:19:39,Chõnğara exclave mappingOSM UzbekistanJafar['Uzbekistan'],FALSE
1484,6006,15689,"Mlowe, Chisokowo en Rumphi",MODERATE,MEDIUM,100,100,ARCHIVED,2023-11-19 11:08:26,2023-10-16 22:00:00,['Malawi'],Netherlands Red Cross,2023-10-17 11:33:51,54.347,38,Koos Krijnders,2023-10-17 11:33:51,"Mlowe, Chisokowo en RumphiNetherlands Red CrossKoos Krijnders['Malawi']",FALSE
1485,6008,15707,"BRASIL - BAIRRO MARCO - BELÉM- (PA) - EDIFÍCIOS, PONTOS DE INTERESSE E ÁREA VERDE. ",EASY,MEDIUM,100,100,ARCHIVED,2024-11-11 15:07:40,,['Brazil'],Union of Brazilian Mappers of OSM (UMBRAOSM),2023-10-22 17:37:48,4.107,110,Umbraosm,2023-10-22 17:37:48,"BRASIL - BAIRRO MARCO - BELÉM- (PA) - EDIFÍCIOS, PONTOS DE INTERESSE E ÁREA VERDE. Union of Brazilian Mappers of OSM (UMBRAOSM)Umbraosm['Brazil']",FALSE
1498,6021,15731,Proyecto de Mapeo San Antonio de Prado (Vereda la Verde) Antioquia - Colombia,MODERATE,MEDIUM,100,100,ARCHIVED,2023-12-20 17:32:49,2023-11-11 5:00:00,['Colombia'],Open Mapping Hub for Latin America and the Caribbean,2023-10-26 19:15:22,6.691,12,Juan Carlos Melo Luna,2023-10-26 19:15:22,Proyecto de Mapeo San Antonio de Prado (Vereda la Verde) Antioquia - ColombiaOpen Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Colombia'],FALSE
1505,6028,15747,Palestine -Innovation - Nablus1,EASY,MEDIUM,100,100,ARCHIVED,2024-04-29 7:53:51,,['Palestinian Territories'],Spanish Red Cross,2023-11-02 9:07:55,11.892,63,Laura,2023-11-02 9:07:55,Palestine -Innovation - Nablus1Spanish Red CrossLaura['Palestinian Territories'],FALSE
1509,6033,15756,"WEST RUKUM, NEPAL Earthquake Response 2023",MODERATE,MEDIUM,100,100,ARCHIVED,2024-10-08 14:11:45,,['Nepal'],MapBuds,2023-11-04 4:18:20,1214.073,322,Rabi Shrestha,2023-11-04 4:18:20,"WEST RUKUM, NEPAL Earthquake Response 2023MapBudsRabi Shrestha['Nepal']",FALSE
1512,6037,15812,Women-Centered Disaster Risk Resilience in SIDS Programme in Montserrat,MODERATE,MEDIUM,100,100,ARCHIVED,2023-12-13 2:42:33,,['Montserrat'],Caribbean Mapper Community,2023-11-20 9:52:37,2.038,25,Lavern Ryan,2023-11-20 9:52:37,Women-Centered Disaster Risk Resilience in SIDS Programme in MontserratCaribbean Mapper CommunityLavern Ryan['Montserrat'],FALSE
1513,6038,15814,Connecting Sipili: ALIN's Community Network Mapping Initiative Rumuruti  Township Ward,EASY,MEDIUM,100,100,ARCHIVED,2024-04-02 9:53:28,2023-08-30 21:00:00,['Kenya'],Open Mapping Hub ESA,2023-11-21 13:30:40,242.082,47,DUNCAN KEBUT,2023-11-21 13:30:40,Connecting Sipili: ALIN's Community Network Mapping Initiative Rumuruti  Township WardOpen Mapping Hub ESADUNCAN KEBUT['Kenya'],FALSE
1531,6059,15883,United Nations for Democratic Republic of the Congo - NAYBUSOKOMA: roads,EASY,MEDIUM,100,100,ARCHIVED,2024-05-14 7:28:29,,['Uganda'],UN Mappers,2023-12-27 13:44:22,769.229,73,UNGSC-isoipsa,2023-12-27 13:44:22,United Nations for Democratic Republic of the Congo - NAYBUSOKOMA: roads UN MappersUNGSC-isoipsa['Uganda'],FALSE
1532,6061,15904,Sardoba Flood - mapping buildings,EASY,MEDIUM,100,100,ARCHIVED,2024-08-27 4:01:47,2024-03-31 15:00:00,['Uzbekistan'],OSM Uzbekistan,2024-01-07 8:59:55,468.856,12,Jafar,2024-01-07 8:59:55,Sardoba Flood - mapping buildings OSM UzbekistanJafar['Uzbekistan'],FALSE
1534,6063,15960,Eco Smart City Nigeria-Iseyin_1,MODERATE,MEDIUM,100,100,ARCHIVED,2024-02-21 14:24:47,2024-06-29 23:00:00,['Nigeria'],MapNigeria,2024-01-18 11:50:32,48.715,21,Ayo Akinseye,2024-01-18 11:50:32,Eco Smart City Nigeria-Iseyin_1MapNigeriaAyo Akinseye['Nigeria'],FALSE
1536,6067,15996,"Mapping Buildings in Cibitoke, Burundi",MODERATE,MEDIUM,100,100,ARCHIVED,2024-10-17 18:56:07,,['Burundi'],YouthMappers,2024-01-29 17:57:47,31.985,57,Rory Nealon,2024-01-29 17:57:47,"Mapping Buildings in Cibitoke, BurundiYouthMappersRory Nealon['Burundi']",FALSE
1547,6082,16062,Eco Smart City Nigeria-Kaduna North & Environs2,MODERATE,MEDIUM,100,100,ARCHIVED,2024-04-17 11:21:52,2024-06-29 23:00:00,['Nigeria'],Humanitarian Mappers,2024-02-05 15:59:59,39.36,19,KAZEEM KAYODE OWOLABI,2024-02-05 15:59:59,Eco Smart City Nigeria-Kaduna North & Environs2Humanitarian MappersKAZEEM KAYODE OWOLABI['Nigeria'],FALSE
1549,6084,16074,Kivukoni - Baseline Data Collection on Solid Waste Services,MODERATE,MEDIUM,100,100,ARCHIVED,2024-02-21 7:02:12,,['Tanzania'],OpenMap Development Tanzania,2024-02-06 7:12:53,2.385,10,Johanes Petro Machela,2024-02-06 7:12:53,Kivukoni - Baseline Data Collection on Solid Waste ServicesOpenMap Development TanzaniaJohanes Petro Machela['Tanzania'],FALSE
1554,6089,16127,Sherni River Basin Mapping - Buildings and Roads,MODERATE,MEDIUM,100,100,ARCHIVED,2024-03-14 16:34:07,,['India'],Open Mapping Hub Asia-Pacific,2024-02-08 6:35:39,254.015,57,Honey Fombuena,2024-02-08 6:35:39,Sherni River Basin Mapping - Buildings and RoadsOpen Mapping Hub Asia-PacificHoney Fombuena['India'],FALSE
1566,6105,16177,Eco Smart City Côte d'Ivoire-Yamoussoukro,MODERATE,MEDIUM,100,100,ARCHIVED,2024-11-07 11:31:16,2024-06-30 0:00:00,"[""Côte d'Ivoire""]",OSM Côte d'Ivoire,2024-02-16 10:33:18,571.273,19,Guy Pacome Adingra,2024-02-16 10:33:18,"Eco Smart City Côte d'Ivoire-YamoussoukroOSM Côte d'IvoireGuy Pacome Adingra[""Côte d'Ivoire""]",FALSE
1576,6116,16236,"Missing Maps: Timmins and Porcupine, Ontario, Canada",EASY,MEDIUM,100,100,ARCHIVED,2024-08-23 20:43:03,,['Canada'],Canadian Red Cross,2024-02-26 21:36:25,205.108,190,Rhea,2024-02-26 21:36:25,"Missing Maps: Timmins and Porcupine, Ontario, CanadaCanadian Red CrossRhea['Canada']",FALSE
1584,6124,16318,Densification of the mapping of the Canton of Una Sana (North),EASY,MEDIUM,100,100,ARCHIVED,2024-11-19 16:25:25,2024-06-30 22:00:00,['Bosnia and Herzegovina'],CartONG,2024-03-11 15:42:43,1215.31,229,Michelet,2024-03-11 15:42:43,Densification of the mapping of the Canton of Una Sana (North)CartONGMichelet['Bosnia and Herzegovina'],FALSE
1599,6140,16470,LOCALLY – LED ADAPTATION FOR CLIMATE CHANGE (NIGERIA),EASY,MEDIUM,100,100,ARCHIVED,2024-05-24 16:39:16,,['Nigeria'],Nigerian Red Cross,2024-03-26 15:21:03,0.56,21,Zulkifilu,2024-03-26 15:21:03,LOCALLY – LED ADAPTATION FOR CLIMATE CHANGE (NIGERIA)Nigerian Red CrossZulkifilu['Nigeria'],FALSE
1602,6143,16496,"Dagapela, Bhutan -  Mapping Roads, Paths, and Buildings ",EASY,MEDIUM,100,100,ARCHIVED,2024-08-01 13:43:46,,['Bhutan'],Open Mapping Hub Asia-Pacific,2024-04-01 13:28:32,10.781,28,Madaam,2024-04-01 13:28:32,"Dagapela, Bhutan -  Mapping Roads, Paths, and Buildings Open Mapping Hub Asia-PacificMadaam['Bhutan']",FALSE
1604,6145,16504,TAHIRPUR UNION - HOUSEHOLD RISK ASSESSMENT,MODERATE,MEDIUM,100,100,ARCHIVED,2024-08-27 3:42:06,,['Bangladesh'],NAXA,2024-04-04 10:04:02,44.019,16,OSMNAXA,2024-04-04 10:04:02,TAHIRPUR UNION - HOUSEHOLD RISK ASSESSMENTNAXAOSMNAXA['Bangladesh'],FALSE
1609,6151,16528,Mapping Siddharthanagar Municipality - Rupandehi,MODERATE,MEDIUM,100,100,ARCHIVED,2024-04-29 7:54:53,,['Nepal'],NAXA,2024-04-10 8:08:35,36.037,27,OSMNAXA,2024-04-10 8:08:35,Mapping Siddharthanagar Municipality - RupandehiNAXAOSMNAXA['Nepal'],FALSE
1610,6152,16529,"Mapping of Nepalgunj Municipality, Banke for Heat Hotspot Analysis",MODERATE,MEDIUM,100,100,ARCHIVED,2024-04-29 5:17:54,,['Nepal'],NAXA,2024-04-10 8:17:49,85.84,19,OSMNAXA,2024-04-10 8:17:49,"Mapping of Nepalgunj Municipality, Banke for Heat Hotspot AnalysisNAXAOSMNAXA['Nepal']",FALSE
1612,6157,16543,"Mapping Beldandi Rural municipality, Kanchanpur",MODERATE,MEDIUM,100,100,ARCHIVED,2024-04-29 8:28:24,,['Nepal'],NAXA,2024-04-11 8:47:08,36.595,14,OSMNAXA,2024-04-11 8:47:08,"Mapping Beldandi Rural municipality, KanchanpurNAXAOSMNAXA['Nepal']",FALSE
1635,6187,16688,"MAPEO COLABORATIVO PARA LA RESILIENCIA A LA INUNDACIÓN  (BARRIO LA IGUANÁ, MEDELLÍN)",MODERATE,MEDIUM,100,100,ARCHIVED,2024-07-09 20:39:27,2024-06-07 5:00:00,['Colombia'],Open Mapping Hub for Latin America and the Caribbean,2024-05-01 18:20:09,0.065,13,Juan Carlos Melo Luna,2024-05-01 18:20:09,"MAPEO COLABORATIVO PARA LA RESILIENCIA A LA INUNDACIÓN  (BARRIO LA IGUANÁ, MEDELLÍN)Open Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Colombia']",FALSE
1639,6191,16730,"NARAINAPUR Rural Municipality, Nepal- FbAA Project",MODERATE,MEDIUM,100,100,ARCHIVED,2025-02-17 4:10:34,,['Nepal'],MapBuds,2024-05-10 15:30:19,172.225,19,Rabi Shrestha,2024-05-10 15:30:19,"NARAINAPUR Rural Municipality, Nepal- FbAA ProjectMapBudsRabi Shrestha['Nepal']",FALSE
1651,6204,16774,Settlement Areas for Emergency basemaps - Thabaung Township,EASY,MEDIUM,100,100,ARCHIVED,2024-06-05 5:05:08,2024-06-14 17:00:00,['Myanmar'],myOSM,2024-05-14 6:51:03,2111.468,11,Patrick Oswald,2024-05-14 6:51:03,Settlement Areas for Emergency basemaps - Thabaung TownshipmyOSMPatrick Oswald['Myanmar'],FALSE
1663,6221,16877,Large scale geographic reference system in Cameroon _Buildings (SU0102),EASY,MEDIUM,100,100,ARCHIVED,2024-11-07 11:40:15,,['Cameroon'],GeOsm Family,2024-06-04 7:32:58,690.355,16,B.Kouma Miguel,2024-06-04 7:32:58,Large scale geographic reference system in Cameroon _Buildings (SU0102)GeOsm FamilyB.Kouma Miguel['Cameroon'],FALSE
1669,6229,16922,Marc Flood Response YEAC St Lucia,EASY,MEDIUM,100,100,ARCHIVED,2024-11-07 11:35:45,,['Saint Lucia'],Caribbean Mapper Community,2024-06-06 18:52:11,4.777,21,Louise Mathurin-Serieux,2024-06-06 18:52:11,Marc Flood Response YEAC St LuciaCaribbean Mapper CommunityLouise Mathurin-Serieux['Saint Lucia'],FALSE
1675,6235,17052,Roads for Emergency basemaps - Palaw Ts,MODERATE,MEDIUM,100,100,ARCHIVED,2024-09-08 8:10:45,2024-07-29 17:00:00,['Myanmar'],myOSM,2024-06-24 16:14:42,2414.627,10,Kyaw Zayar Linn,2024-06-24 16:14:42,Roads for Emergency basemaps - Palaw TsmyOSMKyaw Zayar Linn['Myanmar'],FALSE
1677,6237,17086,ANNAPURNA WARD 10,MODERATE,MEDIUM,100,100,ARCHIVED,2024-08-13 4:48:59,,['Nepal'],MapBuds,2024-06-29 3:58:15,20.3,6,Rabi Shrestha,2024-06-29 3:58:15,ANNAPURNA WARD 10MapBudsRabi Shrestha['Nepal'],FALSE
1712,6275,17290,"Gabachop slum mapping project - Monrovia, Liberia",MODERATE,MEDIUM,100,100,ARCHIVED,2024-09-04 14:26:37,2024-08-10 18:30:00,['Liberia'],HOT,2024-08-02 6:44:59,0.133,5,Ramya Ragupathy,2024-08-02 6:44:59,"Gabachop slum mapping project - Monrovia, LiberiaHOTRamya Ragupathy['Liberia']",FALSE
1714,6279,17335,Lusanja and Kitetika  Villages  Wakiso District- Kiteezi Landfill Incident Mapping,EASY,MEDIUM,100,100,ARCHIVED,2024-11-11 15:06:41,,['Uganda'],MapUganda,2024-08-12 10:08:34,4.773,15,Awania  Morish,2024-08-12 10:08:34,Lusanja and Kitetika  Villages  Wakiso District- Kiteezi Landfill Incident MappingMapUgandaAwania  Morish['Uganda'],FALSE
1717,6285,17382,Mapping Settlement Areas For Emergency Basemap - Shadaw (North) Township,MODERATE,MEDIUM,100,100,ARCHIVED,2024-09-07 14:01:46,2024-08-30 17:00:00,['Myanmar'],myOSM,2024-08-17 10:17:17,295.902,10,Myo Kyaw Kyaw,2024-08-17 10:17:17,Mapping Settlement Areas For Emergency Basemap - Shadaw (North) TownshipmyOSMMyo Kyaw Kyaw['Myanmar'],FALSE
1721,6291,17394,"Cowfield Community slum mapping project - Monrovia, Liberia",MODERATE,MEDIUM,100,100,ARCHIVED,2024-09-04 14:27:01,2024-08-30 18:30:00,['Liberia'],HOT,2024-08-20 9:21:13,1.605,11,Pete Masters,2024-08-20 9:21:13,"Cowfield Community slum mapping project - Monrovia, LiberiaHOTPete Masters['Liberia']",FALSE
1731,6302,17543,Roads for Emergency basemaps - Hlaingbwe Township,MODERATE,MEDIUM,100,100,ARCHIVED,2024-12-07 16:32:08,2024-10-05 17:00:00,['Myanmar'],myOSM,2024-09-05 17:06:09,4322.08,12,Zaw Min Htay,2024-09-05 17:06:09,Roads for Emergency basemaps - Hlaingbwe TownshipmyOSMZaw Min Htay['Myanmar'],FALSE
1761,6341,17901,SHUKLAGANDAKI WARD 8,MODERATE,MEDIUM,100,100,ARCHIVED,2024-12-23 4:01:47,,['Nepal'],MapBuds,2024-10-23 15:04:58,10.613,11,Rabi Shrestha,2024-10-23 15:04:58,SHUKLAGANDAKI WARD 8MapBudsRabi Shrestha['Nepal'],FALSE
1762,6343,17931,"Masalani Township, Garissa County",MODERATE,MEDIUM,100,100,ARCHIVED,2024-12-03 10:02:22,2024-11-29 21:00:00,['Kenya'],OSM Kenya,2024-10-29 7:04:32,41.936,33,walter mayeku,2024-10-29 7:04:32,"Masalani Township, Garissa CountyOSM Kenyawalter mayeku['Kenya']",FALSE
1767,6352,18029,idlib refugee camp 1,EASY,MEDIUM,100,100,ARCHIVED,2024-12-03 10:03:03,2024-12-06 23:00:00,['Syria'],Netherlands Red Cross,2024-11-12 14:07:40,0.354,17,Koos Krijnders,2024-11-12 14:07:40,idlib refugee camp 1Netherlands Red CrossKoos Krijnders['Syria'],FALSE
1768,6355,18051,Mapping the Nzoia Sugar Company Plantation Reserve as a Legacy Project for HOT Mentorship Program,MODERATE,MEDIUM,100,100,ARCHIVED,2025-01-09 14:42:23,,['Kenya'],MapUganda,2024-11-15 5:52:58,3.019,18,Micheal Kaluba,2024-11-15 5:52:58,Mapping the Nzoia Sugar Company Plantation Reserve as a Legacy Project for HOT Mentorship ProgramMapUgandaMicheal Kaluba['Kenya'],FALSE
1769,6356,18072,ODPM's GIS Day Mapathon Fanny Village,MODERATE,MEDIUM,100,100,ARCHIVED,2024-12-11 16:33:51,2024-11-19 4:00:00,['Trinidad and Tobago'],The Geographic Information Systems Society of Trinidad and Tobago (GISSTT),2024-11-18 1:14:55,0.968,5,Cassie,2024-11-18 1:14:55,ODPM's GIS Day Mapathon Fanny VillageThe Geographic Information Systems Society of Trinidad and Tobago (GISSTT)Cassie ['Trinidad and Tobago'],FALSE
1771,6358,18134,Disaster Mapping Preparedness and Response,MODERATE,MEDIUM,100,100,ARCHIVED,2024-12-09 8:10:17,,['East Timor'],OpenStreetMap Timor-Leste,2024-11-26 22:20:22,1368.799,50,Ponciano da Costa de Jesus,2024-11-26 22:20:22,Disaster Mapping Preparedness and ResponseOpenStreetMap Timor-LestePonciano da Costa de Jesus['East Timor'],FALSE
1772,6359,18135,"Building Footprint Mapping - Kalaw Township, Shan State, Myanmar",EASY,MEDIUM,100,100,ARCHIVED,2025-02-17 2:39:36,2024-12-31 17:00:00,['Myanmar'],myOSM,2024-11-27 5:10:25,1455.688,53,Kyaw Zayar Linn,2024-11-27 5:10:25,"Building Footprint Mapping - Kalaw Township, Shan State, MyanmarmyOSMKyaw Zayar Linn['Myanmar']",FALSE
1817,6410,18399,Queensland 2025 Floods - Ingham township,EASY,MEDIUM,100,100,ARCHIVED,2025-02-11 11:12:00,2025-02-14 13:00:00,['Australia'],OSGeo Oceania,2025-02-05 10:39:04,23.446,21,Ewen Hill,2025-02-05 10:39:04,Queensland 2025 Floods - Ingham townshipOSGeo OceaniaEwen Hill['Australia'],FALSE
1818,6411,18429,Mayotte Cyclone Chido - buildings damage assessment - Tsingoni,MODERATE,MEDIUM,100,100,ARCHIVED,2025-03-27 13:59:25,,['France'],OSM France,2025-02-13 20:49:36,0.657,29,SeverinGeo,2025-02-13 20:49:36,Mayotte Cyclone Chido - buildings damage assessment - TsingoniOSM FranceSeverinGeo['France'],FALSE
1821,6414,18511,Open - source nexus modelling of water related indicators on extreme poverty - 1,MODERATE,MEDIUM,100,100,ARCHIVED,2025-03-20 8:45:51,,['Tanzania'],GeoTE Tanzania,2025-03-12 3:24:53,17.45,15,KIARIRO EZEKIEL EDGAR,2025-03-12 3:24:53,Open - source nexus modelling of water related indicators on extreme poverty - 1GeoTE TanzaniaKIARIRO EZEKIEL EDGAR['Tanzania'],FALSE
1822,10531,8761,"2020 Ebola #1, Mbandaka, road update",MODERATE,LOW,100,100,ARCHIVED,2020-08-10 12:11:59,,['Democratic Republic of the Congo'],OSM RDC,2020-06-01 16:15:33,27.801,8,clairedelune,2020-06-01 16:15:33,"2020 Ebola #1, Mbandaka, road updateOSM RDCclairedelune['Democratic Republic of the Congo']",FALSE
1823,10532,8762,"296907 NIGERIA ZAMFARA, 2ND WO, 4th PART",EASY,LOW,100,100,ARCHIVED,2020-07-23 11:28:35,,['Nigeria'],INTEGRATION Consulting Group,2020-06-02 8:43:17,49.967,11,Anna Bojarska,2020-06-02 8:43:17,"296907 NIGERIA ZAMFARA, 2ND WO, 4th PARTINTEGRATION Consulting GroupAnna Bojarska['Nigeria']",FALSE
1827,10536,8766,"COVID-19 - Kosñipata, Cusco, Peru",EASY,LOW,99,99,ARCHIVED,2020-10-08 11:17:21,,['Peru'],Gal School Peru,2020-06-02 9:36:19,132.04,245,Geoffrey Kateregga,2020-06-02 9:36:19,"COVID-19 - Kosñipata, Cusco, PeruGal School PeruGeoffrey Kateregga['Peru']",FALSE
1830,10540,8771,"COVID-19 - Yelimane Cercle 2 - Kayes Region, Mali",EASY,LOW,100,100,ARCHIVED,2021-04-22 22:16:25,,['Mali'],HOT,2020-06-03 5:02:03,1258.837,187,Russell Deffner,2020-06-03 5:02:03,"COVID-19 - Yelimane Cercle 2 - Kayes Region, MaliHOTRussell Deffner['Mali']",FALSE
1832,10542,8780,IMAS_BEDC_Rubitec-Kajola,MODERATE,LOW,100,100,ARCHIVED,2020-06-08 11:44:27,,['Nigeria'],INTEGRATION Consulting Group,2020-06-04 13:03:07,23.513,2,Anna Bojarska,2020-06-04 13:03:07,IMAS_BEDC_Rubitec-KajolaINTEGRATION Consulting GroupAnna Bojarska['Nigeria'],FALSE
1833,10543,8784,Resilience and Food Security - Secours Islamique France - Morombe District Madagascar,EASY,LOW,100,100,ARCHIVED,2020-09-15 7:47:11,,['Madagascar'],CartONG,2020-06-05 13:17:49,490.738,160,Viou,2020-06-05 13:17:49,Resilience and Food Security - Secours Islamique France - Morombe District MadagascarCartONGViou['Madagascar'],FALSE
1837,10547,8791,IMAS_IKEDC_A4&T-Mojoda,EASY,LOW,100,100,ARCHIVED,2020-06-29 9:21:11,,['Nigeria'],INTEGRATION Consulting Group,2020-06-08 9:25:39,10.322,2,Anna Bojarska,2020-06-08 9:25:39,IMAS_IKEDC_A4&T-MojodaINTEGRATION Consulting GroupAnna Bojarska['Nigeria'],FALSE
1845,10557,8819,"HOT Rapid Response Microgrant - Voinjama District, Liberia   ",EASY,LOW,100,100,ARCHIVED,2024-09-10 8:56:18,,['Liberia'],OSM Liberia,2020-06-11 15:59:12,28.396,23,Koakun Emmanuel Myers,2020-06-11 15:59:12,"HOT Rapid Response Microgrant - Voinjama District, Liberia   OSM LiberiaKoakun Emmanuel Myers['Liberia']",FALSE
1846,10558,8823,COVID - 19 RAPID RESPONSE - DADAAB,CHALLENGING,LOW,100,100,ARCHIVED,2021-01-12 21:58:39,,['Kenya'],OSM Kenya,2020-06-12 3:58:58,1402.498,774,Laura Mugeha,2020-06-12 3:58:58,COVID - 19 RAPID RESPONSE - DADAABOSM KenyaLaura Mugeha['Kenya'],FALSE
1850,10565,8843,Covid-19 Rapid Response - Entebbe International Airport,EASY,LOW,100,100,ARCHIVED,2021-07-09 20:17:25,,['Uganda'],MapUganda,2020-06-13 21:21:58,45.897,92,Samson Ngumenawe,2020-06-13 21:21:58,Covid-19 Rapid Response - Entebbe International AirportMapUgandaSamson Ngumenawe['Uganda'],FALSE
1871,10593,8961,"IMAS_JEDC, Acob, Jengre",EASY,LOW,100,100,ARCHIVED,2020-08-18 7:25:53,,['Nigeria'],INTEGRATION Consulting Group,2020-06-24 14:25:29,9.395,3,Anna Bojarska,2020-06-24 14:25:29,"IMAS_JEDC, Acob, JengreINTEGRATION Consulting GroupAnna Bojarska['Nigeria']",FALSE
1872,10594,8963,"COVID-19 - Clarendon, Jamaica",EASY,LOW,100,100,ARCHIVED,2021-05-05 15:27:38,,['Jamaica'],HOT,2020-06-25 14:56:52,1203.889,899,Shamillah Nassozi,2020-06-25 14:56:52,"COVID-19 - Clarendon, JamaicaHOTShamillah Nassozi['Jamaica']",FALSE
1874,10596,8967,"Karwi 2, Chitrakoot District",MODERATE,LOW,100,100,ARCHIVED,2021-04-05 15:17:31,,['India'],Educate Girls,2020-06-26 9:27:14,915.669,1429,Geoffrey Kateregga,2020-06-26 9:27:14,"Karwi 2, Chitrakoot DistrictEducate GirlsGeoffrey Kateregga['India']",FALSE
1893,10619,9024," MISSING MAPS: MAPPING BUILDINGS, ROADS. IN THE SOUTH OF BURUNDI 3. PROVINCE OF RUTANA. SPANISH RED CROSS",EASY,LOW,100,100,ARCHIVED,2022-02-25 15:13:37,,['Burundi'],Spanish Red Cross,2020-07-06 9:46:04,1694.014,392,Laura,2020-07-06 9:46:04," MISSING MAPS: MAPPING BUILDINGS, ROADS. IN THE SOUTH OF BURUNDI 3. PROVINCE OF RUTANA. SPANISH RED CROSSSpanish Red CrossLaura['Burundi']",FALSE
1903,10630,9068,"COVID-19: Maiduguri Metropolis, Northeast Nigeria",EASY,LOW,100,99,ARCHIVED,2021-05-27 22:12:12,,['Nigeria'],Humanitarian Mappers,2020-07-22 16:12:33,4288.888,706,KAZEEM KAYODE OWOLABI,2020-07-22 16:12:33,"COVID-19: Maiduguri Metropolis, Northeast NigeriaHumanitarian MappersKAZEEM KAYODE OWOLABI['Nigeria']",FALSE
1904,10631,9069,Somalia UNSOS waterways import (project 04),CHALLENGING,LOW,100,100,ARCHIVED,2021-03-24 9:29:30,,['Somalia'],UN Mappers,2020-07-23 10:34:16,2294.173,10,Rafael Avila Coya,2020-07-23 10:34:16,Somalia UNSOS waterways import (project 04)UN MappersRafael Avila Coya['Somalia'],FALSE
1905,10632,9070,"MAS_IBEDC, Nayo: Lambata",EASY,LOW,100,100,ARCHIVED,2020-09-22 13:40:19,,['Nigeria'],INTEGRATION Consulting Group,2020-07-23 12:29:49,5.459,2,Anna Bojarska,2020-07-23 12:29:49,"MAS_IBEDC, Nayo: LambataINTEGRATION Consulting GroupAnna Bojarska['Nigeria']",FALSE
1918,10653,9164,Beirut Port Explosion - Extended Damage Radius,MODERATE,LOW,100,100,ARCHIVED,2021-04-22 22:16:33,,['Lebanon'],HOT,2020-08-10 3:32:25,66.829,282,Russell Deffner,2020-08-10 3:32:25,Beirut Port Explosion - Extended Damage RadiusHOTRussell Deffner['Lebanon'],FALSE
1919,10656,9178,COVID-19 - Anguilla Update,MODERATE,LOW,100,100,ARCHIVED,2021-04-29 12:53:02,,['Anguilla'],HOT,2020-08-14 4:49:15,88.502,72,Logan McGovern,2020-08-14 4:49:15,COVID-19 - Anguilla UpdateHOTLogan McGovern['Anguilla'],FALSE
1920,10660,9184,"Bamako, Mali - Task 01 [Updated]",MODERATE,LOW,100,100,ARCHIVED,2020-10-12 16:43:53,,['Mali'],OSM Mali,2020-08-17 13:40:15,10.691,21,David Luswata,2020-08-17 13:40:15,"Bamako, Mali - Task 01 [Updated]OSM MaliDavid Luswata['Mali']",FALSE
1922,10664,9191,"COVID-19 - Koulikoro Cercle UPDATE 1 - Roads, Water, Landuse",MODERATE,LOW,100,100,ARCHIVED,2021-04-22 22:17:08,,['Mali'],HOT,2020-08-19 3:42:46,3506.04,136,Russell Deffner,2020-08-19 3:42:46,"COVID-19 - Koulikoro Cercle UPDATE 1 - Roads, Water, LanduseHOTRussell Deffner['Mali']",FALSE
1923,10665,9200,"Building Import Kanungu District Kayonza, Mpungu, Kinaba and Rutenga Subcounties",EASY,LOW,100,100,ARCHIVED,2020-09-15 11:31:48,,['Uganda'],HOT Uganda,2020-08-20 9:07:45,441.507,9,Shamillah Nassozi,2020-08-20 9:07:45,"Building Import Kanungu District Kayonza, Mpungu, Kinaba and Rutenga SubcountiesHOT UgandaShamillah Nassozi['Uganda']",FALSE
1924,10666,9201,"Building Import Kanungu District Nyanga,Kihiihi and Kihihi TC Subcounties",EASY,LOW,100,100,ARCHIVED,2020-09-02 9:28:06,,['Uganda'],HOT Uganda,2020-08-20 9:18:08,390.981,8,Shamillah Nassozi,2020-08-20 9:18:08,"Building Import Kanungu District Nyanga,Kihiihi and Kihihi TC SubcountiesHOT UgandaShamillah Nassozi['Uganda']",FALSE
1925,10667,9202,"Building Import Kanungu District Kirima,Kambuga, KambugaTC Subcounties",EASY,LOW,100,100,ARCHIVED,2020-09-15 11:33:20,,['Uganda'],HOT Uganda,2020-08-20 9:27:03,147.713,2,Shamillah Nassozi,2020-08-20 9:27:03,"Building Import Kanungu District Kirima,Kambuga, KambugaTC SubcountiesHOT UgandaShamillah Nassozi['Uganda']",FALSE
1926,10668,9203,"Building Import Kanungu District Katete,Nyakinoni,Nyamirama Subcounties",EASY,LOW,100,100,ARCHIVED,2020-09-15 11:32:13,,['Uganda'],HOT Uganda,2020-08-20 9:34:14,137.131,2,Shamillah Nassozi,2020-08-20 9:34:14,"Building Import Kanungu District Katete,Nyakinoni,Nyamirama SubcountiesHOT UgandaShamillah Nassozi['Uganda']",FALSE
